assist_category,shots,goals,mean_xg,avg_distance,avg_angle,goal_rate
Set Piece,3251,273,0.08940793390689018,18.293808463561007,0.3822885191261232,0.08397416179637035
Ground Pass,1086,64,0.06439786556141804,22.86157260769633,0.2601676542072568,0.058931860036832415
Unassisted,672,200,0.32393630504017856,17.48950380717586,0.38929160492173603,0.2976190476190476
Cross,324,48,0.1435902673148148,11.532152843426019,0.5333216555431267,0.14814814814814814
Counter Attack,163,20,0.12080752055828221,18.579669034401235,0.30922676972343616,0.12269938650306748
High Pass,161,11,0.09180264831055901,17.35072495450906,0.3528751638191611,0.06832298136645963
Through Ball,64,19,0.226574018265625,14.099986263214443,0.359583737347886,0.296875
Counter (solo),48,9,0.19832502310416666,16.381376788685152,0.45176055592720427,0.1875
Cutback,42,9,0.17270623902380952,12.649982572486412,0.4890165595050549,0.21428571428571427
Counter Through Ball,18,6,0.20039558572222224,15.571495553624082,0.3526187968406283,0.3333333333333333
