def_label,shots,goals,mean_xg,avg_gap,possession_match,goal_rate,lift_vs_xg
Carry,1919,231,0.10073464422714955,1.8358520062532568,0.9567483064095883,0.12037519541427827,0.01964055118712872
Block,1164,3,0.06047898432079038,0.03006872852233677,0.9965635738831615,0.002577319587628866,-0.057901664733161516
Pressure,964,98,0.09927535743724065,1.0487551867219918,0.9699170124481328,0.1016597510373444,0.002384393600103743
No immediate defensive trigger,754,190,0.2799992165584881,81.09681697612731,0.0,0.2519893899204244,-0.028009826638063673
Ball Recovery,472,80,0.14662207828050847,0.13983050847457626,0.9957627118644068,0.1694915254237288,0.02286944714322034
Duel – Aerial Lost,458,39,0.10080819101462882,0.09170305676855896,0.9978165938864629,0.0851528384279476,-0.015655352586681215
Block – Deflection,86,17,0.0730781338255814,0.1511627906976744,0.8023255813953488,0.19767441860465115,0.12459628477906975
Duel – Tackle,8,1,0.2074261895,2.0,0.25,0.125,-0.0824261895
Interception – Lost In Play,3,0,0.090021851,2.6666666666666665,1.0,0.0,-0.090021851
Dribble,1,0,0.04455093,1.0,1.0,0.0,-0.04455093
