set_piece_category,minute_bucket,shots,goals,goal_rate
Penalty,0-15,9,7,0.7777777777777778
Penalty,15-30,6,5,0.8333333333333334
Penalty,30-45,13,11,0.8461538461538461
Penalty,45-60,22,14,0.6363636363636364
Penalty,60-75,11,8,0.7272727272727273
Penalty,75-90,11,7,0.6363636363636364
Penalty,90+,32,19,0.59375
Penalty,Unknown,0,0,0.0
Direct Free Kick,0-15,21,2,0.09523809523809523
Direct Free Kick,15-30,30,1,0.03333333333333333
Direct Free Kick,30-45,36,1,0.027777777777777776
Direct Free Kick,45-60,36,3,0.08333333333333333
Direct Free Kick,60-75,31,0,0.0
Direct Free Kick,75-90,35,1,0.02857142857142857
Direct Free Kick,90+,23,1,0.043478260869565216
Direct Free Kick,Unknown,0,0,0.0
Indirect Free Kick,0-15,98,6,0.061224489795918366
Indirect Free Kick,15-30,103,6,0.05825242718446602
Indirect Free Kick,30-45,114,11,0.09649122807017543
Indirect Free Kick,45-60,155,13,0.08387096774193549
Indirect Free Kick,60-75,145,17,0.11724137931034483
Indirect Free Kick,75-90,136,14,0.10294117647058823
Indirect Free Kick,90+,105,11,0.10476190476190476
Indirect Free Kick,Unknown,0,0,0.0
Corner,0-15,115,7,0.06086956521739131
Corner,15-30,144,11,0.0763888888888889
Corner,30-45,131,7,0.05343511450381679
Corner,45-60,174,14,0.08045977011494253
Corner,60-75,147,14,0.09523809523809523
Corner,75-90,130,7,0.05384615384615385
Corner,90+,90,10,0.1111111111111111
Corner,Unknown,0,0,0.0
Throw In,0-15,142,17,0.11971830985915492
Throw In,15-30,142,11,0.07746478873239436
Throw In,30-45,145,11,0.07586206896551724
Throw In,45-60,191,16,0.08376963350785341
Throw In,60-75,138,15,0.10869565217391304
Throw In,75-90,138,19,0.13768115942028986
Throw In,90+,118,6,0.05084745762711865
Throw In,Unknown,0,0,0.0
Goal Kick,0-15,35,1,0.02857142857142857
Goal Kick,15-30,31,3,0.0967741935483871
Goal Kick,30-45,33,3,0.09090909090909091
Goal Kick,45-60,37,3,0.08108108108108109
Goal Kick,60-75,42,6,0.14285714285714285
Goal Kick,75-90,36,3,0.08333333333333333
Goal Kick,90+,19,2,0.10526315789473684
Goal Kick,Unknown,0,0,0.0
Kick Off,0-15,20,0,0.0
Kick Off,15-30,2,0,0.0
Kick Off,30-45,7,0,0.0
Kick Off,45-60,22,2,0.09090909090909091
Kick Off,60-75,3,2,0.6666666666666666
Kick Off,75-90,0,0,0.0
Kick Off,90+,10,0,0.0
Kick Off,Unknown,0,0,0.0
Other Restart,0-15,25,3,0.12
Other Restart,15-30,36,4,0.1111111111111111
Other Restart,30-45,43,6,0.13953488372093023
Other Restart,45-60,67,9,0.13432835820895522
Other Restart,60-75,55,12,0.21818181818181817
Other Restart,75-90,49,6,0.12244897959183673
Other Restart,90+,43,10,0.23255813953488372
Other Restart,Unknown,0,0,0.0
Open Play,0-15,0,0,0.0
Open Play,15-30,0,0,0.0
Open Play,30-45,0,0,0.0
Open Play,45-60,0,0,0.0
Open Play,60-75,0,0,0.0
Open Play,75-90,0,0,0.0
Open Play,90+,0,0,0.0
Open Play,Unknown,0,0,0.0
