assist_category,pass_style,pressure_state,shots,goals,xg_total,goal_rate,xg_per_shot,modeled_prob,lift_vs_xg,lift_vs_model,bucket_logit,odds_multiplier
Set Piece,Through Ball,Not under pressure,53,16,10.6060147415,0.3018867924528302,0.20011348568867923,0.28617266612854997,0.10177330676415094,0.01571412632428021,0.7869615561616636,2.196711690700814
Cutback,Cutback,Not under pressure,34,9,6.571821957,0.2647058823529412,0.1932888810882353,0.2455338299148707,0.07141700126470588,0.01917205243807049,0.607074142579852,1.8350544288767447
Through Ball,Through Ball,Not under pressure,49,15,12.451603714,0.30612244897959184,0.2541143615102041,0.2970655174230101,0.05200808746938773,0.009056931556581771,0.4956729004717249,1.6416025025840264
Counter Attack,Ground Pass,Not under pressure,104,14,10.830375404,0.1346153846153846,0.10413822503846154,0.13055332794629698,0.03047715957692307,0.004062056669087627,0.39344983180999343,1.4820849283486812
Set Piece,Cutback,Not under pressure,51,8,6.97483302,0.1568627450980392,0.1367614317647059,0.1486593571735185,0.020101313333333315,0.008203387924520716,0.385047401859225,1.4696839855434154
Cross,Cross,Not under pressure,203,35,32.330856089,0.1724137931034483,0.1592653009310345,0.17064532080926278,0.01314849217241379,0.0017684722941855024,0.369937036869686,1.4476434636297288
Set Piece,Cross,Not under pressure,285,38,40.294793089,0.13333333333333333,0.14138523890877194,0.1328157747719453,-0.008051905575438612,0.0005175585613880207,0.17252374581219412,1.1883000374294905
Counter (solo),Unknown,Not under pressure,40,9,8.422756812,0.225,0.2105689203,0.2191122261400845,0.014431079700000016,0.005887773859915513,0.1612662819845369,1.1749978079084318
Cross,Cross,Under pressure,93,10,10.869446644,0.10752688172043011,0.1168757703655914,0.10569144932823908,-0.009348888645161285,0.0018354323921910276,0.1374908622502398,1.1473912213503115
Set Piece,Cross,Under pressure,185,20,21.579751866,0.10810810810810811,0.11664730738378377,0.10634952758097213,-0.00853919927567566,0.0017585805271359833,0.11521376144000375,1.1221132764866983
Unassisted,Unknown,Not under pressure,386,43,37.8664937948,0.11139896373056994,0.09809972485699482,0.11114980971745253,0.01329923887357512,0.00024915401311741137,0.11184955917349369,1.1183446033025362
High Pass,High Pass,Under pressure,37,3,3.321765967,0.08108108108108109,0.08977745856756757,0.0796129720132211,-0.008696377486486481,0.0014681090678599906,0.005980967823936862,1.0059988895238807
Unassisted,Unknown,Under pressure,63,5,5.0982031922,0.07936507936507936,0.08092386019365079,0.07940235822483517,-0.0015587808285714294,-3.727885975580991e-05,-0.028974445635507416,0.9714412887141946
Set Piece,High Pass,Not under pressure,269,25,28.97669868,0.09293680297397769,0.10772006944237918,0.09294838639591077,-0.014783266468401488,-1.1583421933081262e-05,-0.04167667501830274,0.9591798572518053
Set Piece,Ground Pass,Not under pressure,828,58,50.2412607957,0.07004830917874397,0.060677851202536236,0.06963816298698661,0.009370457976207731,0.0004101461917573601,-0.050267501870345586,0.950975002881179
Set Piece,Unknown,Under pressure,110,11,11.9833421059,0.1,0.10893947369,0.10157138165704026,-0.008939473689999991,-0.0015713816570402522,-0.16071761766486978,0.8515324948941858
Ground Pass,Ground Pass,Under pressure,202,11,12.3246244597,0.054455445544554455,0.06101299237475248,0.056143955671827485,-0.006557546830198026,-0.0016885101272730296,-0.2047434961345,0.8148563033989324
High Pass,High Pass,Not under pressure,106,8,10.749398185,0.07547169811320754,0.10140941683962265,0.07738307025134539,-0.025937718726415107,-0.001911372138137843,-0.21435545652385,0.8070614587701307
Counter Attack,Ground Pass,Under pressure,28,2,2.757301953,0.07142857142857142,0.09847506974999999,0.07504676993410722,-0.027046498321428566,-0.003618198505535797,-0.21681704398519505,0.8050772495568757
Ground Pass,Ground Pass,Not under pressure,878,53,57.324571365,0.06036446469248292,0.0652899446070615,0.06044469188745798,-0.004925479914578583,-8.022719497505909e-05,-0.2314644251674696,0.7933709190386767
Set Piece,Unknown,Not under pressure,870,70,76.0652739124,0.08045977011494253,0.0874313493245977,0.0810893892138137,-0.006971579209655174,-0.0006296190988711731,-0.2430098621702296,0.7842637791905214
Set Piece,Ground Pass,Under pressure,162,8,8.9866830356,0.04938271604938271,0.05547335207160494,0.050373376954461126,-0.0060906360222222275,-0.0009906609050784124,-0.27349008856229823,0.76071987614616
Set Piece,Switch,Not under pressure,117,5,8.2224381147,0.042735042735042736,0.07027724884358974,0.04645584721503098,-0.027542206108547004,-0.0037208044799882448,-0.45345739495698445,0.6354274258472343
Set Piece,Switch,Under pressure,135,5,9.797300262,0.037037037037037035,0.07257259453333334,0.04088922259049396,-0.035535557496296305,-0.003852185553456927,-0.5447843783481385,0.5799668232631613
Set Piece,High Pass,Under pressure,171,7,14.3052052705,0.04093567251461988,0.08365617117251462,0.04371662322357815,-0.042720498657894734,-0.0027809507089582713,-0.5652235699047256,0.568233092736937
