opponent_name,opponent_team_id,shots,goals,xg_total,goal_rate,xg_per_shot,lift_vs_xg
Canada,32,29,7,3.706655762,0.2413793103448276,0.1278157159310345,0.1135635944137931
Qatar,20,30,6,2.9874291934,0.2,0.09958097311333333,0.10041902688666668
Panama,36,39,9,5.6658311900000005,0.23076923076923078,0.14527772282051282,0.08549150794871796
Senegal,10,58,11,6.445385061,0.1896551724137931,0.11112732863793102,0.07852784377586207
Scotland,52,74,11,5.498539697,0.14864864864864866,0.0743045905,0.07434405814864865
Argentina,4,82,12,6.9089825355,0.14634146341463414,0.08425588457926829,0.06208557883536585
Ukraine,44,104,14,8.7530641542,0.1346153846153846,0.08416407840576924,0.05045130620961537
Ghana,31,43,6,4.3177246586,0.13953488372093023,0.1004122013627907,0.039122682358139524
Ecuador,9,19,2,1.3326176855,0.10526315789473684,0.07013777292105264,0.0351253849736842
Iceland,40,57,5,3.2831063717,0.08771929824561403,0.05759835739824562,0.03012094084736841
North Macedonia,54,43,8,7.118279251,0.18604651162790697,0.16554137793023255,0.020505133697674427
Germany,26,127,17,14.9651952573,0.13385826771653545,0.11783618312834646,0.01602208458818899
Costa Rica,28,108,15,13.3534622972,0.1388888888888889,0.12364316941851852,0.015245719470370372
Iran,33,81,9,7.7675147718,0.1111111111111111,0.0958952440962963,0.01521586701481481
Saudi Arabia,17,85,11,9.7765619479,0.12941176470588237,0.11501837585764706,0.014393388848235308
Poland,19,183,18,15.5207659383,0.09836065573770492,0.08481292862459017,0.01354772711311475
Brazil,7,79,5,4.3796808437,0.06329113924050633,0.05543899802151899,0.007852141218987342
Hungary,53,83,10,9.4482541929,0.12048192771084337,0.11383438786626507,0.006647539844578304
Croatia,22,257,25,23.552907157499998,0.09727626459143969,0.09164555314202334,0.005630711449416348
Switzerland,3,263,25,23.6109003809,0.09505703422053231,0.08977528661939163,0.005281747601140682
Romania,46,70,6,5.660272231,0.08571428571428572,0.08086103187142858,0.004853253842857133
Australia,5,90,9,8.5702769936,0.1,0.0952252999288889,0.00477470007111111
Serbia,2,121,14,13.5338251836,0.11570247933884298,0.11184979490578512,0.0038526844330578625
Wales,30,120,12,11.6665485527,0.1,0.09722123793916666,0.0027787620608333424
Egypt,37,47,4,3.900784866,0.0851063829787234,0.08299542268085107,0.002110960297872333
Portugal,15,181,17,16.7393725494,0.09392265193370165,0.09248272126740331,0.0014399306662983419
Uruguay,12,80,4,3.9101913437,0.05,0.04887739179625,0.0011226082037500001
Russia,41,114,11,11.4231000823,0.09649122807017543,0.10020263230087718,-0.003711404230701751
Japan,24,122,10,10.5390636115,0.08196721311475409,0.08638576730737704,-0.0044185541926229505
Albania,50,54,4,4.2601092099999995,0.07407407407407407,0.07889091129629629,-0.004816837222222217
Turkey,42,132,13,13.7622897354,0.09848484848484848,0.10425977072272727,-0.005774922237878788
Netherlands,11,171,12,13.4085014675,0.07017543859649122,0.07841228928362573,-0.008236850687134506
Italy,51,108,7,7.9823235675,0.06481481481481481,0.07391040340277778,-0.009095588587962972
France,16,227,16,18.3887365045,0.07048458149779736,0.08100764979955946,-0.010523068301762098
Spain,23,165,15,16.7830873967,0.09090909090909091,0.10171568119212122,-0.010806590283030312
England,21,265,18,21.9643919354,0.06792452830188679,0.08288449786943396,-0.014959969567547166
Sweden,35,133,8,10.1203369812,0.06015037593984962,0.07609275925714286,-0.015942383317293238
United States,25,29,3,3.475212415,0.10344827586206896,0.11983491086206897,-0.01638663500000001
Nigeria,39,27,2,2.53018846,0.07407407407407407,0.09371068370370371,-0.01963660962962964
Czech Republic,45,94,7,8.8666955722,0.07446808510638298,0.09432654864042553,-0.019858463534042553
Slovakia,49,101,8,10.0208548495,0.07920792079207921,0.09921638464851484,-0.020008463856435635
South Korea,13,104,8,10.084329445,0.07692307692307693,0.09696470620192307,-0.020041629278846146
Austria,43,97,9,11.055415249,0.09278350515463918,0.11397335308247422,-0.021189847927835043
Georgia,48,106,8,10.3894607604,0.07547169811320754,0.09801378075849057,-0.022542082645283026
Denmark,6,202,12,16.6209508647,0.0594059405940594,0.08228193497376238,-0.022875994379702974
Finland,55,52,2,3.568536039,0.038461538461538464,0.06862569305769231,-0.030164154596153847
Belgium,29,276,12,21.1652928355,0.043478260869565216,0.07668584360688406,-0.033207582737318844
Mexico,18,96,7,10.1988309532,0.07291666666666667,0.10623782242916667,-0.0333211557625
Morocco,14,108,7,10.8659555159,0.06481481481481481,0.1006106992212963,-0.03579588440648149
Cameroon,27,43,4,5.542830683,0.09302325581395349,0.12890303913953488,-0.035879783325581394
Tunisia,8,79,7,10.2727534372,0.08860759493670886,0.13003485363544304,-0.041427258698734176
Slovenia,47,62,2,4.66646908,0.03225806451612903,0.07526563032258064,-0.04300756580645161
Peru,38,39,2,4.640273389,0.05128205128205128,0.11898136894871794,-0.06769931766666666
Colombia,34,47,1,4.472071709,0.02127659574468085,0.09515046189361702,-0.07387386614893617
