def_label,time_gap_bucket,possession_match,shots,goals,xg_total,goal_rate,xg_per_shot,lift_vs_xg
Carry,5-10s,True,89,13,9.694313587,0.14606741573033707,0.10892487176404494,0.03714254396629213
Carry,0-2s,True,852,100,78.3643990953,0.11737089201877934,0.09197699424330986,0.02539389777546948
Ball Recovery,0-2s,True,467,79,68.0045966664,0.16916488222698073,0.14562012134132762,0.023544760885653104
Pressure,2-5s,True,196,25,20.8086915184,0.12755102040816327,0.10616679346122448,0.021384226946938784
Carry,2-5s,True,895,104,88.7078420296,0.11620111731843576,0.09911490729564246,0.0170862100227933
Carry,0-2s,False,57,6,5.549308367,0.10526315789473684,0.09735628714035088,0.007906870754385953
No immediate defensive trigger,5-10s,False,100,13,12.6167029955,0.13,0.126167029955,0.003832970044999995
Pressure,0-2s,True,718,67,68.1163833111,0.09331476323119778,0.09486961463941504,-0.0015548514082172615
No immediate defensive trigger,10s+,False,447,32,36.3182062896,0.07158836689038031,0.08124878364563758,-0.009660416755257265
Duel – Aerial Lost,0-2s,True,450,39,45.527560256,0.08666666666666667,0.10117235612444445,-0.014505689457777776
Block,0-2s,True,1150,1,67.8529704924,0.0008695652173913044,0.05900258303686957,-0.058133017819478265
Block – Deflection,0-2s,True,66,0,4.680112353,0.0,0.07091079322727273,-0.07091079322727273
